ThermalExpansionCoefficient_composition_average,ThermalConductivity_difference,NUnfilled_composition_average,phi_arithmetic_average,NsValence_min_value,CovalentRadius_arithmetic_average,BCCvolume_padiff_arithmetic_average,NfUnfilled_composition_average,ThermalExpansionCoefficient_arithmetic_average,BCCvolume_padiff_composition_average,IonicRadii_arithmetic_average,SecondIonizationEnergy_composition_average,ElectronAffinity_composition_average,n_ws^third_composition_average,SpaceGroupNumber_arithmetic_average,NdUnfilled_composition_average,IonicRadii_composition_average,BoilingT_composition_average,HeatFusion_difference,HeatCapacityMolar_composition_average,NsValence_difference,ThirdIonizationEnergy_composition_average,BCCfermi_composition_average,NdValence_composition_average,SpecificHeatCapacity_composition_average
11.94,406.3,4.15,3.9625,1.0,156.75,-0.22375,0.0,11.75,-0.17425,0.8875,17.7274,73.305,1.4440000000000002,209.5,3.6,0.8185,3848.6,15.9,25.056,1.0,30.501,4.4297176135,6.4,0.28045
12.555,407.1,3.85,4.25,1.0,147.2,-0.0809999999999999,0.0,12.62,-0.1265,0.804,17.4858,88.355,1.4600000000000002,212.6,3.3,0.7909999999999999,3603.4,9.7,24.9505,1.0,31.4611,4.196528760500001,6.7,0.35465
11.88,406.3,4.15,4.083333333333334,1.0,150.66666666666669,-0.1883333333333333,0.0,13.7,-0.20875,0.9066666666666664,17.1889,88.305,1.432,214.66666666666669,3.6,0.8214999999999999,3790.4,9.7,24.945,1.0,30.402,4.2783316375,6.4,0.3218499999999999
12.457,407.1,3.87,4.0125,1.0,153.0,-0.10375,0.0,12.425,-0.1608,0.8324999999999999,17.497880000000002,89.537,1.4399,209.5,3.28,0.8056,3675.02,9.7,24.8932,1.0,31.18065,4.2217642145,6.72,0.33838
12.71,407.1,3.8,4.0125,1.0,153.0,-0.10375,0.0,12.425,-0.1265,0.8324999999999999,17.592000000000002,88.72,1.446,209.5,3.2,0.7929999999999999,3604.1,9.7,24.869,1.0,31.5441,4.16067612,6.8,0.3517
12.852,406.3,3.52,4.083333333333334,1.0,150.66666666666669,-0.1883333333333333,0.0,13.7,-0.1678,0.9066666666666664,17.833479999999998,94.452,1.4373999999999998,214.66666666666669,2.88,0.8116,3657.02,9.7,24.8622,1.0,31.6476,4.291893652,7.12,0.33148
20.662,411.8,1.34,3.8625,1.0,152.0,0.00875,0.0,17.875,0.0015499999999999,0.905,16.69329,-82.018,1.26785,209.5,0.99,0.8005999999999999,2173.675,5.119999999999999,24.99711,1.0,58.21491999999999,4.0605467599,3.61,0.7028
12.4454,407.1,3.94,4.0125,1.0,153.0,-0.10375,0.0,12.425,-0.15569,0.8324999999999999,17.454428,88.3724,1.43974,209.5,3.36,0.8088199999999999,3655.16,9.7,24.910960000000003,1.0,31.100269999999995,4.1900036516,6.64,0.33981
11.388,406.3,4.5,4.083333333333334,1.0,150.66666666666669,-0.1883333333333333,0.0,13.7,-0.2343,0.9066666666666664,16.85476,85.038,1.4268,214.66666666666669,4.0,0.8353999999999999,3849.2,9.7,25.0092,1.0,29.67,4.2642775870000005,6.0,0.3135
12.035999999999998,406.3,4.08,4.083333333333334,1.0,150.66666666666669,-0.1883333333333333,0.0,13.7,-0.207,0.9066666666666664,17.284480000000002,89.136,1.4304,214.66666666666669,3.52,0.8288,3760.28,9.7,24.954,1.0,30.5004,4.273318929999999,6.48,0.31992
11.826,406.3,4.48,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.2136999999999999,0.815,16.96606,84.279,1.4245,217.25,3.84,0.8317,3799.67,10.29,24.9927,1.0,29.67531,4.365591580599999,5.86,0.32959
20.405,418.4,1.85,3.8625,1.0,153.5,0.1124999999999999,0.7,14.55,0.0329999999999999,0.9125,16.23495,-113.815,1.2325,209.5,0.9,0.8185,1923.5,5.119999999999999,26.11435,1.0,63.063950000000006,4.041832169999999,2.6,0.7603499999999999
12.829999999999998,407.1,3.8,4.0125,1.0,153.0,-0.10375,0.0,12.425,-0.1335,0.8324999999999999,17.6519,89.09,1.4405,209.5,3.2,0.8140000000000001,3565.85,9.7,24.9145,1.0,31.444099999999995,4.144377125,6.8,0.3441999999999999
12.348,406.3,3.94,4.083333333333334,1.0,150.66666666666669,-0.1883333333333333,0.0,13.7,-0.2035,0.9066666666666664,17.475640000000002,90.798,1.4272,214.66666666666669,3.36,0.8433999999999999,3700.04,9.7,24.972,1.0,30.6972,4.263293515,6.640000000000001,0.31606
10.07,415.5,6.7,4.411666666666667,1.0,142.5,0.1829166666666666,0.0,15.016666666666666,0.4272499999999999,0.8200000000000001,14.06518,62.504000000000005,1.3104,214.66666666666669,5.88,0.9712,3459.68,11.28,26.2,1.0,24.37026,7.1005425228,2.72,0.3389
10.466,415.5,6.52,4.0425,1.0,151.25,0.223125,0.0,15.925,0.41615,0.895,14.38654,65.84,1.2767999999999995,217.25,5.58,0.9784,3460.52,7.399999999999999,26.08,1.0,24.66966,6.9518188518,3.0200000000000005,0.3332
12.192,406.3,4.32,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.1672,0.815,17.07684,83.99799999999999,1.4366,217.25,3.52,0.7754,3812.3,10.29,24.8486,1.0,30.19742,4.5090369432,5.88,0.36582
11.826,406.3,4.64,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.1810999999999999,0.815,16.77572,80.533,1.4333999999999998,217.25,3.84,0.7779,3867.5,10.29,24.883000000000003,1.0,29.55999,4.5368627184,5.46,0.36669
16.970000000000002,428.765,0.61,4.9,2.0,126.8,-2.860047619,0.0,35.36,-0.95831190475,0.5900000000000001,19.36993,71.591,1.6378,180.8,0.0,0.5923,3078.115,38.91,25.199,0.0,33.0427,5.8487614627,8.5,0.32131
11.148,406.3,4.5,4.083333333333334,1.0,150.66666666666669,-0.1883333333333333,0.0,13.7,-0.2203,0.9066666666666664,16.73496,84.298,1.4378,214.66666666666669,4.0,0.7934,3925.7,9.7,24.9182,1.0,29.87,4.296875577,6.0,0.3285
20.292,418.4,1.92,4.05,1.0,151.5,0.1124999999999999,0.7,13.775,0.0496,0.9025,15.34005,-143.736,1.2648,209.5,1.2,0.7571,1873.89,9.0,26.27487,1.0,66.53999,4.1683847345,1.5,0.8395
10.1432,415.5,6.67,4.411666666666667,1.0,142.5,0.1829166666666666,0.0,15.016666666666666,0.4249799999999999,0.8200000000000001,14.122334,63.08219999999999,1.3044699999999998,214.66666666666669,5.83,0.97366,3457.525,11.28,26.18273,1.0,24.41416,7.0747773046,2.77,0.3375
10.14392,415.5,6.67,4.411666666666667,1.0,142.5,0.1829166666666666,0.0,15.016666666666666,0.424938,0.8200000000000001,14.1226934,63.08442,1.3044369999999996,214.66666666666669,5.83,0.973786,3457.2955,11.28,26.183003,1.0,24.41356,7.07467951063,2.77,0.3374549999999999
21.245,417.9,0.75,3.865,1.0,153.0,0.06333333325,0.5,17.400000000000002,0.0308333333,0.9449999999999998,16.028200000000002,-114.74,1.2472499999999995,209.5,0.0,0.779,2017.125,5.119999999999999,25.188599999999997,1.0,63.44145,4.0794476715,2.5,0.7735
10.21808,415.5,6.64,4.411666666666667,1.0,142.5,0.1829166666666666,0.0,15.016666666666666,0.422612,0.8200000000000001,14.1803266,63.66558,1.298463,214.66666666666669,5.78,0.976414,3454.8345000000004,11.28,26.166097,1.0,24.456660000000003,7.048783900470001,2.8200000000000003,0.3359949999999999
10.2188,415.5,6.640000000000001,4.411666666666667,1.0,142.5,0.1829166666666666,0.0,15.016666666666666,0.42257,0.8200000000000001,14.180686,63.6678,1.29843,214.66666666666669,5.78,0.97654,3454.605,11.28,26.16637,1.0,24.456060000000004,7.0486861065,2.82,0.3359499999999999
22.12,273.0,0.2,3.45,1.0,154.0,-0.3633333333333333,0.0,22.0,-0.598,0.9566666666666666,14.4276,-114.46,1.052,214.66666666666669,0.0,0.974,1813.8,2.8200000000000003,25.6012,1.0,53.5394,3.365097182,2.0,0.6392
12.95,407.1,3.8,4.0125,1.0,153.0,-0.10375,0.0,12.425,-0.1405,0.8324999999999999,17.7118,89.46000000000001,1.435,209.5,3.2,0.835,3527.6,9.7,24.96,1.0,31.344099999999997,4.1280781300000005,6.8,0.3367
20.525,418.4,1.85,3.8625,1.0,153.5,0.1124999999999999,0.7,14.55,0.0259999999999999,0.9125,16.29485,-113.445,1.227,209.5,0.9,0.8394999999999999,1885.25,5.119999999999999,26.15985,1.0,62.96395,4.025533175,2.6,0.7528499999999999
13.07,407.1,3.8,4.0125,1.0,153.0,-0.10375,0.0,12.425,-0.1475,0.8324999999999999,17.7717,89.83,1.4295,209.5,3.2,0.8559999999999999,3489.35,9.7,25.0055,1.0,31.2441,4.111779135,6.8,0.3292
11.4116,406.3,5.898499999999999,4.3100000000000005,1.0,139.8,0.0139999999999999,0.0,15.44,-0.1176325,0.782,15.595989,58.49355,1.47349,212.6,4.85,0.7489049999999999,3888.545,10.29,24.98334,1.0,27.114038,5.287087394265,3.21,0.4303095
12.042,406.3,4.35,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.17745,0.815,17.031840000000003,84.12199999999999,1.4357,217.25,3.6,0.7826,3823.55,10.29,24.869300000000003,1.0,30.12285,4.4704169165,5.9,0.3581
11.85,406.3,4.64,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.1825,0.815,16.7877,80.607,1.4323,217.25,3.84,0.7821,3859.85,10.29,24.8921,1.0,29.53999,4.5336029194,5.46,0.36519
12.174,406.3,4.43,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.16885,0.815,17.002560000000003,82.656,1.4341,217.25,3.6,0.7787999999999999,3815.39,10.29,24.8645,1.0,29.95519,4.5381235909,5.7,0.3684
12.39,406.3,4.29,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.15975,0.815,17.1458,84.02199999999999,1.4353,217.25,3.44,0.7766,3785.75,10.29,24.8461,1.0,30.23199,4.5411373719,5.86,0.37054
10.48913,406.3,5.7433000000000005,4.276000000000001,1.0,141.0,-0.025,0.0,15.2,-0.226612,0.762,15.6792732,65.76273,1.437406,219.6,5.0052,0.781594,4025.5478,10.29,25.029318,1.0,27.3337915,4.707241835075,4.0248,0.3692092
16.994000000000003,428.765,0.61,4.9,2.0,126.8,-2.860047619,0.0,35.36,-0.95971190475,0.5900000000000001,19.38191,71.66499999999999,1.6367,180.8,0.0,0.5965,3070.465,38.91,25.2081,0.0,33.0227,5.8455016637,8.5,0.31981
10.365200000000002,415.5,6.58,4.411666666666667,1.0,142.5,0.1829166666666666,0.0,15.016666666666666,0.4180299999999999,0.8200000000000001,14.294994,64.8242,1.2865699999999998,214.66666666666669,5.68,0.98146,3450.295,11.28,26.13183,1.0,24.54386,6.997155670100001,2.9200000000000004,0.33315
20.6552,411.8,1.3199999999999998,3.8625,1.0,152.0,0.00875,0.0,17.875,0.01123,0.905,16.501894,-89.51680000000002,1.26977,209.5,0.99,0.77016,2192.015,5.119999999999999,24.94017,1.0,59.22518,4.0781716267000006,3.41,0.7263000000000001
10.36592,415.5,6.58,4.411666666666667,1.0,142.5,0.1829166666666666,0.0,15.016666666666666,0.4179879999999999,0.8200000000000001,14.2953534,64.82642,1.2865369999999998,214.66666666666669,5.68,0.981586,3450.0655,11.28,26.132103,1.0,24.54326,6.99705787613,2.9200000000000004,0.333105
20.93878,273.0,0.4615,3.7,1.0,148.5,-0.27,0.0,20.625,-0.333086,0.8999999999999999,16.8561673,-44.21276999999999,1.194601,217.25,0.0,0.940005,2096.6188,5.119999999999999,25.2771855,1.0,50.543041,3.754560095129,4.615,0.5660204
21.57705,273.0,0.3846,3.7,1.0,148.5,-0.27,0.0,20.625,-0.334624,0.8999999999999999,16.451904,-70.99704,1.171531,217.25,0.0,0.9392359999999998,1955.3535,5.119999999999999,25.3101756,1.0,53.8738107,3.732083432459,3.846,0.6148519
21.9544,273.0,0.384,3.45,1.0,154.0,-0.3633333333333333,0.0,22.0,-0.27416,0.9566666666666666,16.779671999999998,-76.2432,1.18264,214.66666666666669,0.0,0.95008,1866.056,2.8200000000000003,25.299624,1.0,55.960288,3.79719690504,3.84,0.6320239999999999
21.31559,273.0,0.4615,3.7,1.0,148.5,-0.27,0.0,20.625,-0.271566,0.8999999999999999,17.1916051,-49.33430999999999,1.206136,217.25,0.0,0.950771,2007.4917,5.119999999999999,25.2656505,1.0,52.6374125,3.821082588546,4.615,0.5831691
21.1194,273.0,0.462,3.7,1.0,148.5,-0.27,0.0,20.625,-0.34418,0.8999999999999999,16.950452,-43.4444,1.1861700000000002,217.25,0.0,0.97256,2038.521,5.119999999999999,25.347632,1.0,50.358014,3.7291506814599993,4.62,0.5539959999999999
10.514,415.5,6.52,4.0425,1.0,151.25,0.223125,0.0,15.925,0.41335,0.895,14.4105,65.988,1.2746,217.25,5.58,0.9868,3445.2200000000003,7.399999999999999,26.0982,1.0,24.62966,6.9452992538,3.02,0.3301999999999999
12.0,406.3,4.3100000000000005,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.1831499999999999,0.815,17.05846,84.929,1.4354,217.25,3.6,0.7887,3819.98,10.29,24.8808,1.0,30.18668,4.4333037803,6.000000000000001,0.35145
12.108,406.3,4.24,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.1786,0.815,17.13008,85.612,1.436,217.25,3.52,0.7876,3805.16,10.29,24.8716,1.0,30.32508,4.4348106708,6.08,0.35252
12.216,406.3,4.17,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.17405,0.815,17.201700000000002,86.295,1.4366,217.25,3.44,0.7865,3790.34,10.29,24.8624,1.0,30.46348,4.4363175613,6.160000000000001,0.35359
12.456,406.3,4.18,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.1609,0.815,17.244040000000002,85.512,1.4356,217.25,3.36,0.7816,3767.36,10.29,24.8484,1.0,30.43422,4.5055311262,6.04,0.36496
17.018000000000004,428.765,0.61,4.9,2.0,126.8,-2.860047619,0.0,35.36,-0.96111190475,0.5900000000000001,19.39389,71.739,1.6356000000000002,180.8,0.0,0.6007,3062.815,38.91,25.2172,0.0,33.0027,5.8422418647,8.5,0.31831
11.412,406.3,4.359999999999999,4.083333333333334,1.0,150.66666666666669,-0.1883333333333333,0.0,13.7,-0.214,0.9066666666666664,16.902160000000002,85.812,1.4368,214.66666666666669,3.84,0.7996,3880.76,9.7,24.918,1.0,30.1068,4.29336976,6.16,0.32764
20.174,418.4,1.94,4.05,1.0,151.5,0.1124999999999999,0.7,13.775,0.0472,0.9025,15.469149999999996,-136.622,1.2686,209.5,1.2,0.7657,1895.33,9.0,26.28449,1.0,65.63373,4.1677108225,1.7,0.8238000000000001
11.9964,406.3,4.569999999999999,4.1125,1.0,143.25,-0.03125,0.0,16.05,-0.18019,0.815,16.878488,81.4084,1.43114,217.25,3.76,0.78772,3832.79,10.29,24.89746,1.0,29.64639,4.529894131499999,5.539999999999999,0.36386
20.86438,273.0,0.5384,3.7,1.0,148.5,-0.27,0.0,20.625,-0.279854,0.8999999999999999,17.6911586,-22.054979999999997,1.221007,217.25,0.0,0.983558,2089.5345,5.119999999999999,25.3015794,1.0,49.1820778,3.819682428736,5.384,0.5231756
21.3067,273.0,0.462,3.45,1.0,154.0,-0.3633333333333333,0.0,22.0,-0.3540199999999999,0.9566666666666666,17.045862,-42.9486,1.17796,214.66666666666669,0.0,1.00462,1979.222,2.8200000000000003,25.416642000000003,1.0,50.233249,3.70524126099,4.62,0.542819
20.66413,273.0,0.5401,3.7,1.0,148.5,-0.27,0.0,20.625,-0.3512679999999999,0.8999999999999999,17.4619415,-15.843309999999995,1.201655,217.25,0.0,1.0053869999999998,2121.4516,5.119999999999999,25.3824721,1.0,46.88963269999999,3.729442727472,5.401,0.4936127
20.752584741525848,273.0,0.5357464253574642,3.7,1.0,148.5,-0.27,0.0,20.625,-0.3330936906309369,0.8999999999999999,17.50278122187781,-18.80215978402159,1.2053034696530347,217.25,0.0,1.0004159584041594,2104.6849315068494,5.119999999999999,25.36476522347765,1.0,47.649333966603336,3.75110729180082,5.357464253574642,0.5034956504349565
9.935,415.5,6.6,4.0425,1.0,151.25,0.223125,0.0,15.925,0.411625,0.895,14.20405,66.945,1.268,217.25,5.85,1.0114999999999998,3470.0,7.399999999999999,26.197,1.0,24.415299999999995,6.9085124945,3.15,0.30225
10.295,415.5,6.55,4.254,1.0,146.20000000000002,0.2175,0.0,15.34,0.4129374999999999,0.846,14.317475,65.6125,1.28025,212.6,5.7,0.994,3446.375,10.0,26.1335,1.0,24.563875,6.95228238975,3.05,0.3208999999999999
